Listing all packages installed using APT...
base-files/focal-updates 11ubuntu5.5 amd64 [upgradable from: 11ubuntu5.4]
base-passwd/focal,now 3.5.47 amd64 [installed]
bash/focal-updates,now 5.0-6ubuntu1.1 amd64 [installed]
cloud-init/focal-updates 21.4-0ubuntu1~20.04.1 all [upgradable from: 21.2-3-g899bfaa9-0ubuntu2~20.04.1]
cmdtest/focal,now 0.32.14.gcdfe14e-1 all [installed]
cron/focal,now 3.0pl1-136ubuntu1 amd64 [installed]
dash/focal,now 0.5.10.2-6 amd64 [installed]
dbus-x11/focal-updates,focal-security,now 1.12.16-2ubuntu2.1 amd64 [installed]
default-jdk/focal,now 2:1.11-72 amd64 [installed]
diffutils/focal,now 1:3.7-3 amd64 [installed]
eatmydata/focal,now 105-7 all [installed]
findutils/focal,now 4.7.0-1ubuntu1 amd64 [installed]
fontconfig-config/focal,now 2.13.1-2ubuntu3 all [installed]
fonts-dejavu-core/focal,now 2.37-1 all [installed]
grep/focal,now 3.4-1 amd64 [installed]
gzip/focal,now 1.10-0ubuntu4 amd64 [installed]
hostname/focal,now 3.23 amd64 [installed]
init/focal,now 1.57 amd64 [installed]
libasyncns0/focal,now 0.8-6 amd64 [installed]
libdebconfclient0/focal,now 0.251ubuntu1 amd64 [installed]
libdrm-amdgpu1/focal-updates,focal-security 2.4.107-8ubuntu1~20.04.2 amd64 [upgradable from: 2.4.105-3~20.04.1]
libdrm-intel1/focal-updates,focal-security 2.4.107-8ubuntu1~20.04.2 amd64 [upgradable from: 2.4.105-3~20.04.1]
libdrm-nouveau2/focal-updates,focal-security 2.4.107-8ubuntu1~20.04.2 amd64 [upgradable from: 2.4.105-3~20.04.1]
libdrm-radeon1/focal-updates,focal-security 2.4.107-8ubuntu1~20.04.2 amd64 [upgradable from: 2.4.105-3~20.04.1]
libeatmydata1/focal,now 105-7 amd64 [installed]
libflac8/focal,now 1.3.3-1build1 amd64 [installed]
libfontconfig1/focal,now 2.13.1-2ubuntu3 amd64 [installed]
libfontenc1/focal,now 1:1.1.4-0ubuntu1 amd64 [installed]
libgl1-mesa-dri/focal-updates,focal-security 21.2.6-0ubuntu0.1~20.04.2 amd64 [upgradable from: 21.0.3-0ubuntu0.3~20.04.1]
libgl1/focal-updates,focal-security 1.3.2-1~ubuntu0.20.04.2 amd64 [upgradable from: 1.3.2-1~ubuntu0.20.04.1]
